DIRECTORS,LABEL
安德鲁·亚当森/维基·詹森,
乔·舒马赫,
姜炯哲,
赵圣熙,
布拉德·塞伯宁,
萨基特·乔杜里,
薛晓路,
刘镇伟,文艺作者
伍迪·艾伦,
巴兹·鲁赫曼,
盖瑞·马歇尔,
程小东,
金成洙,
朱延平,
宫崎吾朗,
托马斯·阿尔弗莱德森,
徐克,
杜家毅,
萨布,
李铉升,
乔丹·斯科特,
乔治·卢卡斯,
张艺谋,商业主流
三池崇史,文艺作者
格伦·费卡拉/约翰·里夸,
乔瑟琳·穆尔豪斯,
儿玉兼嗣,
史蒂文·斯皮尔伯格,文艺作者
马丁·布莱斯特,
庾河,
乔尔·科恩,
安东尼·福奎阿,
张婉婷,
胡金铨/徐克/李惠民/程小东,
王竞,
王川,
金成勋,
于仁泰,
许秦豪,
格雷格·乔丹,
朴赞郁,
大卫·弗兰科尔,
大卫·道金,
加雷斯·埃文斯,
赵小溪,
罗永昌,
雷德利·斯科特,商业主流
北野武,文艺作者
朱利安·施纳贝尔,
戴思杰,
关信辉,
大卫·O·拉塞尔,
马特·罗斯,
陈可辛,
杨子,
罗曼·波兰斯基,
梅尔·吉布森,
吴宇森,
松山博昭,
张艾嘉,文艺作者
乌兰塔娜,
杰梅奈·克莱门特/塔伊加·维迪提,
布莱恩·派西维尔,
乔尔·科恩,
布拉德利·雷蒙德,
石田祐康,
斯戴芬·卢佐维茨基,
大卫·阿耶,
伍迪·艾伦,
蒂尼斯·艾葛温,
李安,大师派
王朔,
陈凯歌,
托德·海因斯,
钮承泽,
胡雄华/沈祖慰,
泰德·戴米,
迈克尔·克里斯托弗,
李焕庆,
竹园元,
詹姆斯·庞索特,
卡雷尔·赖兹,
彼得·威尔,
布莱恩·海尔格兰德,
安东·寇班,
泽维尔·多兰,
罗兰·艾默里奇,
韦斯·安德森,文艺作者
阿巴斯·基亚罗斯塔米,大师派
中野量太,
克里斯汀·丹米尔斯/弗兰克·叶根吉,
泰利·茨威戈夫,
陈木胜,
吴天明,
罗曼·波兰斯基,
姜锡范,
伊利亚·卡赞,
,
徐克,
罗伯·莱纳,
斯坦利·多南,
安迪·汉密尔顿/盖·简金,
全高云,
托尼·戈德温,
李玉,
杰伊·欧力瓦,
山田洋次,
潘文杰,
路学长,
孙敏,
托尼·斯科特,
乔治·克鲁尼,
夏秉钧,
佩德罗·阿莫多瓦,文艺作者
卡拉·西蒙·皮坡,
林岭东,
丰田利晃,
阿尔弗雷德·希区柯克,
杨德昌,大师派
托德·布朗宁,
韦西·沙赞那庭,
杨·史云梅耶,
山口雅俊,
阿基·考里斯马基,
大卫·格里菲斯,
艾伦·J·帕库拉,
詹同,
让-皮埃尔·达内/吕克·达内,
埃里克·侯麦,大师派
植田泰史/长江俊和/土方政人/佐藤源太/星护,
儿玉兼嗣,
让-雅克·阿诺,
李·塔玛霍瑞,
休·威尔逊,
乌妮·勒孔特,
李俊/蔡继渭/韦廉/杨光远/景慕逵/翟俊杰,
伊达勇登,
河野圭太,
让-吕克·戈达尔,大师派
亚历山大·佩恩,
埃里克·侯麦,大师派
麦子善,
查尔斯·马丁·史密斯,
妮琪·卡罗,
奥利佛·斯通,
纳西尔·侯赛因,
巴兹·库里克,
王柏荣,
比利·怀德,
雷内·克莱尔,
迈克尔·温特伯顿,
史蒂芬·布塞,
,
,
成白烨,
郑则仕,
樱井弘明,
罗杰·唐纳森,
伍迪·艾伦,
,
,
大卫·扎克/杰瑞·扎克/吉姆·艾布拉姆斯,
,
基兰·饶,
迈克·尼科尔斯,
乔治·米勒,
桑原智,
,
伍夫根雷德门 (Wolfgang Reitherman),
阿基·考里斯马基,
,
迈克·李,文艺作者
沈西苓,
,
工藤进,
大卫·叶茨,
罗兰·艾默里奇,
巴兹·鲁赫曼,
肯·卡皮斯,
沙恩·布莱克,
周杰伦,
丁晟,
马丁·斯科塞斯,文艺作者
黄毅瑜,
林诣彬,
乔恩·费儒,
陈嘉上,
巴里·库克/托尼·班克罗夫特,
西娅·夏罗克,
埃里克·达尼尔/汤姆·麦格拉思,
林超贤,
冯小刚,
王晶,
弗朗西斯·劳伦斯,
弗朗西斯·福特·科波拉,大师派
冯小刚,
史蒂文·斯皮尔伯格,文艺作者
大谷健太郎,
汤姆·麦格拉思,
麦浚龙,
罗德里戈·科尔特斯,
西恩·埃利斯,
王小帅,
乔恩·阿米尔,
诺拉·艾芙隆,
刘伟强,
安南德·图克尔,
德里克·斯安弗朗斯,
约翰·拉塞特/安德鲁·斯坦顿,
凯文·格劳特,
成龙,
拉斯·冯·提尔,文艺作者
阿方索·阿雷奥,
吉拉尔·皮雷,
迈克尔·贝,
,
许鞍华,
达雷尔·鲁尼/罗布·拉杜卡,
克林特·伊斯特伍德,
大友启史,
金亨俊,
拉斯·冯·提尔,文艺作者
亚当·布鲁克斯,
迈克尔·贝,
约翰·麦克蒂尔南,
柳昇完,
陈英雄,
迈克·内威尔,
嘉瑞斯·贾里维克,
禹民镐,
吉米·海沃德/史蒂夫·马蒂诺,
热拉尔·克瓦兹克,
尹钟彬,
马克思·梅尔,
吉尔·约格尔,
陈凯歌,
彼得·赫奇斯,
王川,
弗朗索瓦·欧容,
吉诺特·兹瓦克,
布拉德·福尔曼,
大友启史,
金基德,
安德鲁·海格,
帕特里斯·夏侯,
史蒂文·斯皮尔伯格,文艺作者
马克·福斯特,
保罗·格林格拉斯,
罗伯特·罗德里格兹/伊莱·罗斯/昆汀·塔伦蒂诺/埃德加·赖特/罗布·赞比,
中村义洋,
彼得·威尔,
理查德·艾尔,
泰伦斯·马力克,文艺作者
帕维乌·帕夫利科夫斯基,文艺作者
普拉奇亚·平克尧,
麦当娜,
彼得·卡坦纽,
于地纮仁,
郭暻泽,
蔡明亮,文艺作者
罗伯特·斯蒂文森,
杰西卡·沙泽尔,
庾河,
安娜·波顿/瑞安·弗雷克,
蒂尔·施威格,
瑟琳·席安玛,
成龙,
郝杰,
许秦豪,
尼提瓦·塔拉吞,
史蒂芬·安汀,
泷田洋二郎,
阿尔弗雷德·希区柯克,
李贤珠,
宫藤官九郎,
克里斯托夫·奥诺雷,
让-卢普·费利乔利/阿兰·嘎诺尔,
谭朗昌,
罗伊·安德森,文艺作者
黄东赫,
米歇尔·贡德里/莱奥·卡拉克斯/奉俊昊,
高畑勋,动画导演
贾森·雷特曼,
克里斯·哥伦布,
姜帝圭,
小岛正幸,
土井裕泰,
凯瑞·福永,
袁和平,
夏钢,
西德尼·吕美特,
王全安,
品川祐,
白石和弥,
犬童一心,
休·赫德森,
小江,
罗恩·克莱蒙兹/约翰·马斯克,
,
蔡明亮,文艺作者
巴瑞·莱文森,
朗·霍华德,
尼提瓦·塔拉吞,
娜丁·拉巴基,
杰瑞·扎克斯,
孙道临,
杰瑞·扎克,
陈可辛,
沙蒙/林杉,
杜琪峰,
冲田修一,
威廉·惠勒,
赵心水,
植田泰史/都築淳一/城宝秀則/岩田和行/河野圭太,
热罗姆·恩里科,
潘文杰,
基里尔·谢列布连尼科夫,
,
山崎贵/本广克行/佐藤嗣麻子/中田秀夫/清水崇,
德斯汀·克里顿,
兰德尔·克莱泽,
阿里·福尔曼,
迪恩·帕里索,
方润南/尤磊,
永田琴,
艾拉·萨克斯,
佩德罗·阿莫多瓦,文艺作者
霍建起,
迈克尔·拉巴什/安东尼·莱昂迪斯,
,
瓦迪姆·佩尔曼,
保罗·塔维亚尼/维托里奥·塔维亚尼,
佐藤信介,
芝山努,
三木聪,
汤姆·霍珀,
,
克里斯蒂安·蒙吉,
桑弧,
荒木哲郎/肥冢正史/田中洋之,
石立太一,
鲁弗斯·诺里斯,
乔·舒马赫,
霍华德·霍克斯,
佐久间纪佳,
霍华德·霍克斯,
戴宝拉·卡姆普梅尔,
贝纳尔多·贝托鲁奇,大师派
乔恩·阿米尔,
胡进华,
谢晋,
辻初樹,
让·贝克,
丹尼斯·阿康特,
凯文·科斯特纳,
沃纳·赫尔佐格,大师派
洪金宝,
,
,
约翰·克劳利,
西斯科·盖伊,
塔蒂亚·罗森娜尔,
迪特里希·布鲁格曼,
盖瑞·马歇尔,
R·巴尔基,
武藤信宏,
蒂姆·米勒,
阿德瓦·香登,
丹尼斯·维伦纽瓦,商业主流
山姆·雷米,
大卫·叶茨,
钮承泽,
非行,
陈嘉上,
罗伯特·斯文克,
米凯尔·哈弗斯特罗姆,
尔冬升,
白雪,
埃德加·赖特,
罗伯·科恩,
肯尼·奥特加,
南希·迈耶斯,
蒂姆·波顿,
王家卫,大师派
扎克·施奈德,
林诣彬,
李元泰,
陈建斌,
罗勒·莎菲,
彼得·韦柏,
迈克尔·帕特里克·金,
袁和平,
达伦·林恩·鲍斯曼,
元泰渊,
安妮·弗莱彻,
大卫·芬奇,商业主流
大卫·海克尔,
布莱特·拉特纳,
李炳宪,
李相日,
马伟豪,
曹义锡‍/金丙书,
史蒂文·斯皮尔伯格,文艺作者
R·巴尔基,
马丁·麦克唐纳,
陆川,
米开朗基罗·安东尼奥尼/维姆·文德斯,
于仁泰,
斯派克·李,文艺作者
玛丽·哈伦,
尔冬升,
托尼·斯科特,
克利姆·希片科,
托尼·斯科特,
韦家辉,
宋一坤,
刘家良,
冯小宁,
朱延平,
金基德,
熊泽尚人,
詹姆斯·伊沃里,
罗杰·米歇尔,
史蒂文·斯皮尔伯格,文艺作者
约瑟夫·L·曼凯维奇,
刘国昌,
克林特·伊斯特伍德,
史蒂文·索德伯格,文艺作者
萨姆·门德斯,
郑朱莉,
艾利·克雷格,
鲁本·奥斯特伦德,文艺作者
陈果,
谢卡尔·卡普尔,
庄宇新,
派蒂·杰金斯,
迈克·加布里尔/埃里克·古德伯格,
克洛德·贝里,
关锦鹏,文艺作者
查尔斯·克莱顿,
格雷厄姆·安纳布尔/安东尼·斯塔基,
林岭东,
李相日,
克里斯蒂安·蒙吉,
比利·怀德,
尼古拉·列别捷夫,
李志毅,
约翰·李·汉考克,
吕克·贝松,
戈尔·维宾斯基,文艺作者
韦恩·克雷默,
姜孝镇,
乔·德特杜巴,
徐克,
托德·菲尔德,
园子温,文艺作者
北野武,文艺作者
游达志,
杰夫·泽姆巴利斯特/迈克尔·泽姆巴利斯特,
泷田洋二郎,
罗维/吴家骧,
邓勇星,
大卫·扎克,
罗伯特·泽米吉斯,
三池崇史,文艺作者
雅克·欧迪亚,
克里斯·努安,
科奇·吉尔佐,
莱奥·卡拉克斯,文艺作者
,
韩东旭,
铃木雅之/石川淳一/植田泰史/松木創/木下高男,
里克·罗曼·沃夫,
杜琪峰,
F·加里·格雷,
阿列克赛·西多洛夫,
阿久根知昭,
袁英明,
保罗·韦兹,
李翰,
拉尔沙·康达基,
尼古拉斯·迈耶,
罗伯特·高洛斯,
曹建南,
伊藤匡史,
麦温,
克里斯多夫·莫利斯,
高志森,
冲田修一,
阿尔弗雷德·希区柯克,
北久保弘之,
志水淳儿,
路易斯·曼多基,
,
宋岳峰,
棚田由纪,
杨德昌/柯一正/陶德辰/张毅,
加斯帕·诺,
杰伊·罗奇,
威廉·弗莱德金,
迈克尔·度德威特,
卢卡·瓜达尼诺,
,
吕乐,
鲁卡斯·穆迪森,
冯小宁,
费尔南多·莱昂·德·阿拉诺亚,
法乌斯托·布里齐,
吉姆·弗尔,
约翰·G·艾维尔森,
张坚庭,
大卫·林奇,文艺作者
劳伦·冈泰,
汤姆·森兰,
纳瓦彭·坦荣瓜塔纳利,
尼古拉斯·迈耶,
里兹·弗德兰德,
德米特里·基谢廖夫,
王苹,
安权太,
威廉·奥尔森,
高志森,
,
罗曼·波兰斯基,
让-吕克·戈达尔,大师派
崔成贤,
陈英雄,
李俊/韦廉,
阪本顺治,
马丁·坎贝尔,
迈克尔·鲍威尔,
,
张彻,
侯达·本亚闵纳,
,
汉尼·阿布-阿萨德,
,
布莱恩·德·帕尔玛,
胡明凯/邓衍成,
塔玛拉·詹金斯,
伍迪·艾伦,
塞巴斯蒂安·劳德巴克,
堤幸彦,
洪尚秀,
朴珍杓,
马伟豪,
杰克·卡斯丹,
,
菲利普·李·古伊,
罗丝·博斯,
王放放,
丁亮,
弗朗西斯·福特·科波拉,大师派
,
严宥娜,
路易斯·莱特里尔,
乔恩·费儒,
冯小刚,
陈正道,
罗伯·马歇尔,
叶伟信,
盖·里奇,
马特·里夫斯,
贾樟柯,文艺作者
克里斯多夫·甘斯,
克里斯·雷纳德/亚罗·切尼,
陈可辛/赵良骏,
盖·里奇,
巴里·索南菲尔德,文艺作者
马丁·斯科塞斯,文艺作者
温子仁,
萧雅全,
杜琪峰,
罗伯·明可夫,
史蒂文·斯皮尔伯格,文艺作者
克里斯·米勒,
张艺谋,商业主流
佩德罗·阿莫多瓦,文艺作者
王晶,
F·加里·格雷,
肯·卡皮斯,
欧格斯·兰斯莫斯,文艺作者
布拉德·安德森,
安德鲁·亚当森/凯利·阿斯博瑞/康拉德·弗农,
温子仁,
,
詹姆斯·瓦特金斯,
尼尔·博格,
克林特·伊斯特伍德,
侯孝贤,大师派
张杨,
盖瑞·温尼克,
乔·卡纳汉,
冯小刚,
柳昇完,
白宗烈,
让-皮埃尔·热内,文艺作者
山本泰一郎,
刘伟强,
吴宇森,
安东尼·福奎阿,
元奎,
加雷斯·埃文斯,
杨凡,
胡安·安东尼奥·巴亚纳,
威廉·弗莱德金,
成龙,
凯瑟琳·毕格罗,
叶念琛,
罗伯特·泽米吉斯,
莫滕·泰杜姆,
洪金宝,
奈吉·柯尔,
潘文杰,
昆汀·塔伦蒂诺,商业主流
马提欧·加洛尼,
伊利亚·奈舒勒,
三木孝浩,
金正权,
保罗·范霍文,
堤幸彦,
格雷格·马克斯,
史蒂芬·戴德利,
布鲁斯·A·埃文斯,
朱浩伟,
约翰·麦克蒂尔南,
约翰·帕特里克·尚利,
布赖恩·克卢格曼/李·施特恩塔尔,
胡里奥·密谭,
园子温,文艺作者
布莱恩·德·帕尔玛,
翁路明/宋崇,
贝赫·泽特林,
李铢真,
斯科特·斯皮尔,
古斯塔夫·莫勒,
堤幸彦,
李道允,
贾森·雷特曼,
玛伦·阿德,文艺作者
,
彼得·西格尔,
西村正記,
西坂瑞城,
林正英,
毕鲍·鲍格朗,
叶伟信,
山下敦弘,
泷本智行,
松太加,
小中和哉,
佩德罗·阿莫多瓦,文艺作者
三岛有纪子,
欧·帕克,
泽维尔·多兰,
北野武,文艺作者
葛兰·杜奇克,
莱斯·梅菲尔德,
钟孟宏,
李彦禧,
兼重淳,
大森立嗣,
陈嘉上/林超贤,
黛布拉·格兰尼克,
罗伯特·怀斯,
陈英雄,
张杨,
严泰华,
迈克尔·莱德福,
巴瑞·莱文森,
三木孝浩,
董玮,
林岭东,
马丁·伯克,
杰克·施莱尔,
金相辰,
莎拉·史密斯/巴里·库克,
乔治·海肯卢珀,
矢口史靖,
黄祖模,
阿尔弗雷德·希区柯克,
廖希/韩平/张巳阳,
小泉德宏,
安国真,
西奥多·梅尔菲,
松木创/岩田和行/佐藤源太/高丸雅隆/落合正幸,
孟京辉,
斯蒂文·奈特,
凯瑟琳·哈德威克,
迈克尔·哈内克,文艺作者
李国立,
三木聪,
瑞奇·热维斯/斯戴芬·莫昌特,
松永大司,
平松惠美子,
堤幸彦,
约翰·迈克尔·麦克唐纳,
亚历山大·索科洛夫,文艺作者
志水淳儿,
李润珍,
李睿珺,
植田泰史/杉本达/石川淳一/岩田和行/都築淳一,
金·维多,
阿莱克斯·德·拉·伊格莱西亚,
马伟豪,
麦克·卡希尔,
布莱恩·德·帕尔玛,
杰罗姆·罗宾斯/罗伯特·怀斯,
麦婉欣/鄭思傑,
万古蟾,
詹姆斯·范德比尔特,
奥利维耶·杜卡斯泰尔/雅克·玛尔提诺,
詹姆斯·肯特,
杰瑞德·赫斯,
片渊须直,
佐藤宏幸,
西川美和,文艺作者
巨兴茂,
西川美和,文艺作者
苏乔伊·高什,
,
,
舒琪,
洪尚秀,
堤幸彦,
约翰·帕斯昆,
斯派克·李,文艺作者
霍猛,
水岛努,
,
比利·怀德,
麦当杰,
塞德里克·克拉皮斯,
帕迪·康斯戴恩,
中村义洋,
宫本理江子,
刘家良,
猪股隆一,
梁允豪,
张律,
赵良骏,
,
张加贝,
莎莉·波特,
星护,
弗朗索瓦·欧容,
松田秀知,
宍户淳,
洪金宝,
张律,
宋欣颖,
尼尔·阿姆菲尔德,
珊妮·盖博,
胡明凯/邓衍成,
新海诚,动画导演
李东恩,
唐·希格尔,
凯特·绍特兰,
,
彭小莲,
莫里斯·皮亚拉,
埃罗依·朗/诺米·萨格雷欧,
罗伯特·布德里奥,
罗宾·哈迪,
森田芳光,
胡里奥·密谭,
蔡楚生,
乌尔善,
盖瑞·马歇尔,
麦兆辉/庄文强,
陈木胜,
麦兆辉/庄文强,
马修·沃恩,
凯尔·巴尔达/皮埃尔·柯芬,
大卫·斯雷德,
莎伦·马奎尔,
杨雅喆,
郭在容,
J·J·艾布拉姆斯,
翁子光,
马丁·坎贝尔,
保罗·费格,
陈嘉上,
罗恩·克莱蒙兹/约翰·马斯克/唐·霍尔/克里斯·威廉姆斯,
萨拉萨瓦蒂·翁索姆佩奇,
斯蒂芬·索莫斯,
史蒂文·斯皮尔伯格,文艺作者
李勇周,
中田秀夫,
彼得·洛伊德/尼克·帕克,
克利斯汀·迪特,
马克·劳伦斯,
杨凡,
保罗·托马斯·安德森,文艺作者
安德烈·艾弗道夫,
张坚庭,
元奎,
王晶,
陈国富,
朴赞郁,
彭浩翔,
多米尼克·塞纳,
罗曼·波兰斯基,
凯瑞·福永,
阿方索·卡隆,文艺作者
陈庆嘉/秦小珍,
中村义洋,
高志森,
扎克·施奈德,
汤姆·麦格拉思,
袁和平,
安相勋,
迈克尔·格兰达吉,
方银振,
颂裕·素玛戈南,
成龙,
唐季礼,
彭浩翔,
乔纳森·戴顿/维莱莉·法瑞斯,
马丁·坎贝尔,
大卫·洛维,
布拉德·塞伯宁,
金志勋,
丽莎·查罗登科,
阿德里安·莱恩,
郑晓龙,
尼古拉斯·斯托勒/道格·斯威特兰德,
张杨,
叶大鹰,
金基德,
胤祥,
王家卫/米开朗基罗·安东尼奥尼/史蒂文·索德伯格,
崔国熙,
彼得·麦克唐纳德,
崔东勋,
谷德昭,
本·帕尔马,
杨亚洲,
凯文·坦查隆,
萨姆·门德斯,
,
克里斯·韦奇/卡洛斯·沙尔丹哈,
,
让-马克·瓦雷,
朴镇彪,
欧·帕克,
宋岳峰,
马丁·坎贝尔,
奥里奥尔·保罗,
陈凯歌,
乔·庄斯顿,
比利·怀德,
岩井俊二,文艺作者
亚当·尚克曼,
梁允豪,
让-皮埃尔·达内/吕克·达内,
大卫·柯南伯格,
菲利普·考夫曼,
高志森,
保罗·麦圭根,
鲁本·奥斯特伦德,文艺作者
张勋,
洪尚秀,
吕克·贝松,
三木孝浩,
石井裕也,
埃里克·莱顿,
罗伯特·罗德里格兹,
朱延平,
奥利维耶·阿萨亚斯,文艺作者
蒂姆·布雷克·尼尔森,
弗朗索瓦·欧容,
柯瑞·爱德华兹/托德·爱德华兹/托尼·里奇,
肯尼思·布拉纳,
荒牧伸志,
迈克尔·莱德福,
源孝志,
迈克尔·霍夫曼,
迈克尔·诺尔,
李翰,
托尔·弗罗伊登塔尔,
里克·罗曼·沃夫,
周美玲,
罗宾·史威考德,
阿巴斯·基亚罗斯塔米,大师派
赵明,
邓衍成,
海谷敏久,
徐克,
山本透,
刘观伟,
彼得·休伊特,
斯坦利·多南,
,
佐藤祐市,
沃纳·赫尔佐格,大师派
李廷香,
荻岛达也,
胡一泊,
麦曦茵,
彼德·切尔瑟姆,
泽维尔·多兰,
亚历杭德罗·阿梅纳瓦尔,
李翰祥,
彼得·西格尔,
,
保罗·格林格拉斯,
韩在林,
约翰·马登,
,
史蒂文·索德伯格,文艺作者
铃木雅之,
丽莎·查罗登科,
周浩晖,
萨姆·泰勒·约翰逊,
伊兰·迪朗·科昂,
,
道格·墨菲,
阿尔弗雷德·希区柯克,
钱运达/唐澄,
大卫·柯南伯格,
文在容,
李相日,
洪荣杰,
汤姆·麦克洛克林,
詹姆斯·伊沃里,
胡金铨,
安德鲁·戴维斯,
雷尼·哈林,
约翰·麦克蒂尔南,
李石勋,
林权泽,
爱德华·兹威克,
乔治·库克,
马可·克罗伊茨派因特纳,
谭家明,
金大胜,
新田義方,
西浦正记,
安吉丽娜·朱莉,
井坂聪,
荣·伊斯特,
,
李相日,
,
关锦鹏,文艺作者
曾利文彦,
让-弗朗索瓦·雷切,
斯派克·李,文艺作者
关锦鹏,文艺作者
斯蒂芬·霍普金斯,
杰克·斯迈特,
黑泽明,大师派
侯孝贤,大师派
汤姆·麦卡锡,
,
比利·奥古斯特,
张鑫炎/张子恩,
柳昇完,
安德鲁·纳科曼,
郑大圣,
马歇尔·赫斯科维兹,
西田征史,
原惠一,
马库斯·戈勒,
内田贤治,
川尻善昭,
清水崇 Takashi Shimizu,
乔纳森·莱文,
徐克,
何塞·路易斯·格林,
乔·舒马赫,
黄泰来,
堤幸彦,
汤米·李·琼斯,
苏照彬 (Chao Pin Su),
莎拉·哈丁,
张志成,
姜秀琼,
约翰·斯特奇斯,
努里·比格·锡兰,文艺作者
,
让-皮埃尔·达内/吕克·达内,
周圣崴,
片山修,
楼一安,
徐峥,
凯瑟琳·哈德威克,
韩延,
陈凯歌,
雷德利·斯科特,商业主流
马克·韦布,
肖恩·利维,
乔恩·费儒,
吕乐,
保罗·格林格拉斯,
提莫·贝克曼贝托夫,
郑保瑞,
山崎贵,
菲尔·罗德/克里斯托弗·米勒,
刘杰,
尼尔·博格,
尔冬升,
寒竹百合,
拜伦·霍华德,
娄烨,青年独立
乔纳森·莱文,
汤姆·福特,
王晶,
安德鲁·斯坦顿/安格斯·麦克莱恩,
黄真真,
伦·怀斯曼,
,
罗志良,
乔治·米勒/沃伦·科尔曼/朱迪·莫里斯,
马克·耐沃尔代/布莱恩·泰勒,
程小东,
林书宇,
詹姆斯·曼高德,
迈克尔·曼,
迈克尔·克里斯托弗,
欧格斯·兰斯莫斯,文艺作者
约翰·波尔森,
徐克/林岭东,
帕特里克·亚力桑德罗,
胡安·安东尼奥·巴亚纳,
加斯·戴维斯,
卡梅伦·克罗,
蒂姆·希尔,
卡梅伦·克罗,
阿莱克·凯西西恩,
柳昇完,
迈克尔·哈内克,文艺作者
史蒂文·索德伯格,文艺作者
斯蒂芬·索莫斯,
迈克尔·戴维斯,
高田雅博,
克里斯蒂安·阿瓦特,
蒂姆·波顿,
班庄·比辛达拿刚/柏德潘·王般,
迈克尔·艾普特,
扎克·施奈德,
金辉,
S·S·拉贾穆里,
阿里斯特·格里尔森,
贾樟柯,文艺作者
冯小刚,
郑秉吉,
是枝裕和,文艺作者
保罗·提比特/迈克·米切尔,
伯纳德·罗斯,
安德里亚·阿诺德,
三池崇史,文艺作者
迈克尔·贝,
唐季礼,
森田芳光,
福田雄一,
傅天余,
西谷弘,
贾斯汀·贝尔杜尼,
元新渊,
鲁德,
布莱恩·德·帕尔玛,
金知云/朗斯·尼美毕达/陈可辛,
大岛渚,文艺作者
朴光铉,
南希·迈耶斯,
大卫·林奇,文艺作者
李圭满,
凯瑞·柯克帕特里克/杰森·雷西格,
江玉仪/钟炜钊,
伊桑·科恩/乔尔·科恩,
D·凯瑞·普瑞尔,
乔什·拉德诺,
伍迪·艾伦,
杜琪峰,
大卫·柯南伯格,
三木孝浩,
克里斯托夫·奥诺雷,
罗德里戈·加西亚,
北野武,文艺作者
乔丹·沃格特-罗伯茨,
查理·考夫曼/杜克·约翰逊,
李宋喜一,
滨口龙介,
佩德罗·阿莫多瓦,文艺作者
埃斯基尔·沃格特,
查理·麦克道威尔,
阿兰·吉罗迪,
杰克·海勒,
安东尼·明格拉,
刘伟恒,
钟孟宏,
柳昇完,
约翰·麦卡伦,
李翰祥,
许秦豪,
安里麻里,
姜帝圭,
安诺·绍尔,
伍迪·艾伦,
曾瑾昌,
博卡·格德斯维特,
提莫·贝克曼贝托夫,
沈东,
福田雄一,
张作骥,
伊桑·科恩/乔尔·科恩,
罗伯特·罗德里格兹,
邓衍成,
劳伦斯·卡斯丹,
安德烈·萨金塞夫,
阿兰·夏巴,
杜琪峰,
肯·斯科特,
乔尔·霍普金斯,
奚仲文,
邓衍成,
冯世雄,
山本泰一郎,
侯孝贤,大师派
大谷肇,
罗伯·爱泼斯坦/杰弗里·弗里德曼,
广木隆一,
瑞恩·库格勒,
迈克·李,文艺作者
,
克里斯托夫·奥诺雷,
行定勋,
皮埃尔·保罗·帕索里尼,
妮可·哈罗芬瑟,
本·杨格尔,
徐耿,
刘山姆/劳伦·蒙哥马利,
西蒙·阿布德,
马基德·马基迪,
史蒂文·利斯伯吉尔,
让-雅克·阿诺,
伍迪·艾伦,
李睿珺/易小星/田原/王大庆/刘勇宏/杜波/佟志坚/姜颖/杨智麟,
杰克·斯科特,
迈克尔·道斯,
班庄·比辛达拿刚,
桥口亮辅,
王小帅,
颂裕·素玛戈南,
天愿大介,
裴林,
肖恩·克里斯汀森,
李翰祥,
路易斯·奥特加,
李在容,
大卫·马肯兹,
彼得·威尔,
弗兰克·克拉斯,
拉希·阿尼尔·巴夫/安南·甘地/阿德什·普拉萨德,
亚历山大·索科洛夫,文艺作者
费奥多尔·邦达尔丘克,
克里斯蒂安·佩措尔德,文艺作者
森田芳光,
南大中,
木村尚,
三池崇史,文艺作者
迪恩·康迪,
斯图尔特·贝尔德,
理查德·唐纳,
兰德尔·克莱泽,
,
迈克尔·温特伯顿,
杰瑞米·西姆斯,
路易斯·曼多基,
克林特·伊斯特伍德,
胡安,
托比·格恩科尔/肖恩·麦克科马克,
,
泰迪·罗宾,
张铮/黄健中,
星护,
弗雷德·卡瓦耶,
霍华德·霍克斯,
马克斯·法贝尔布克,
皮埃尔·保罗·帕索里尼,
杰·拉塞尔,
乔恩·阿米尔,
吉姆·谢里丹,
园子温,文艺作者
纳瓦彭·坦荣瓜塔纳利,
阿古斯丁·比利亚龙加,
山本蒼美,
南泽秀,
埃里克·侯麦,大师派
汤姆·沃恩,
赵婷,
艾里西欧·苏比耶拉,
沃尔克·施隆多夫,
元永庆太郎,
川久保圭史,
楚原,
阿莉切·罗尔瓦赫尔,
三原光寻,
李翰祥,
牟敦芾,
申政元,
罗宾·坎皮略,
薛晓路,
陈木胜,
刁亦男,青年独立
刘伟强/麦兆辉,
张艺谋,商业主流
王冉,
布尔·斯蒂尔斯,
侯孝贤,大师派
山姆·雷米,
冯小刚,
顾长卫,
安德鲁·亚当森,
林超贤,
罗兰·艾默里奇,
约翰·辛格顿,
瑞恩·墨菲,
朗·霍华德,
元奎/路易斯·莱特里尔,
克里斯·韦兹/保罗·韦兹,
史蒂夫·麦奎因,文艺作者
新城毅彦,
高群书,
王晶,
约翰·马登,
郑保瑞,
伦·怀斯曼,
彼得·韦柏,
,
鲁本·弗雷斯彻,
张艾嘉,文艺作者
王小帅,
罗伯·科恩,
滕丛丛,
徐浩峰,
侯咏,
拉斯·冯·提尔,文艺作者
莎伦·马奎尔,
尔冬升,
多米尼克·塞纳,
清水崇,
王晶,
长峰达也,
约翰·卡梅隆·米切尔,
西尔维斯特·史泰龙,
格里高利·霍布里特,
,
闵奎东,
河正宇,
刘伟强,
罗伯特·泽米吉斯,
陈嘉上,
罗杰·斯波蒂斯伍德,
安东尼·福奎阿,
金成洙,
汤姆·沙迪亚克,
热拉尔·克瓦兹克,
笕昌也,
蒂姆·波顿,
大卫·柯南伯格,
那奇欧·维加隆多,
伍迪·艾伦,
韩在林,
林顺礼,
扬·德·邦特,
保罗·格林格拉斯,
韦斯·克雷文,
皮特·特拉维斯,
乔·舒马赫,
武内英树,
钟孟宏,
土井裕泰,
贝尼特·米勒,
让·雅南,
岩井俊二,文艺作者
