导演,主要电影豆瓣ID,tag
克里斯托弗·诺兰,3541415 1889243 1851857 1780330 26607693 3395373 1304447 30444960 35593344 1309069 1397546 1307210,商业主流
迈克·李,3718782 1294477 1299077 21319853 2382939 1309001,文艺作者
肯·洛奇,30209084 26653676 1780122 1297920 1301866 6396294,文艺作者
彼得·格林纳威,1296579 1304582 1296814,大师派
史蒂夫·麦奎因,6879185 5360890 3070921,文艺作者
丹尼·博伊尔,1292528 4164444 22263645 1306421 25850443 1293019 1849371 10508921 5149279 2209573,商业主流
佩德罗·阿莫多瓦,24750126 2997052 1292211 30198539 1291937 1689787 1291878 36687720 1302369 1294315 26296258 35123985 2059321 1300951 1300953 1300952 35874004 1300954,文艺作者
路易斯·布努埃尔（5000人以下多）,1303364 1298962 1301649 1297188 1303071 1303557 1303556 1293667 1303579 1301655,大师派
费德里科·费里尼,1361276 1294781 1292719 1293271 1298672 1302815 1293358 1300779 1303571 1296183 1299485 1301917 1303533,大师派
米开朗基罗·安东尼奥尼,1291558 1309029 1310176 1292327 1361252 1299261 1293105 1389923 1297546 1293623,大师派
卢奇诺·维斯康蒂,1300912 1293146 6793337 1303558 1303561 1428007 1401585 27089205 1294377 1449420,大师派
贝纳尔多·贝托鲁奇,1293172 1291856 1293394 1292277 1300353 1300956 6793337 1300955 1291564 1293034 25735492 1296356,大师派
朱塞佩·托纳多雷,1292001 1292402 1291828 7059671 1292995 1878616 25735492 25904974 2265111 1294733 1303033 1293661,文艺作者
保罗·索伦蒂诺,28427782 25766754 30395843 10760030 35051880 25884125 35134764 35785050 26897438 36404253,大师派
维姆·文德斯,35902857 1292212 1302061 1291558 1292504 10741871 2027945 1291563,文艺作者
赖纳·维尔纳·法斯宾德,1294092 3228134 1307684 1298655 1293808 1298609 1295221 1300660 1300323 1293230 1300050 1294129 1302108 4266816 1298863,文艺作者
沃纳·赫尔佐格,1297105 2237378 1296583 3073648 35857538 1306002 1785166 6536657 1296646 1422951,大师派
迈克尔·哈内克,4798707 1306730 2464346 1438066 1306548 24875641 26698601,文艺作者
克里斯蒂安·佩措尔德,34603816 35221425 22637441 26682880 10438581,文艺作者
玛伦·阿德,24872189 35101435 26627754 35211729 10438585,文艺作者
让-吕克·戈达尔,1300056 26764928 1353745 1292533 1296757 1294565 1291564 1293849 1303555 1302589 1316524 1294341 1296338 10465148 26830774 1300522 1301677 1301217 1300964 1401588,大师派
弗朗索瓦·特吕弗,1291856 1300056 1353745 1292338 1293870 1293299 1298405 1298616 1298197 1298095 1298892 25893369 1293885 1300067 1419169 1300962 3161902,大师派
埃里克·侯麦,1293632 1302675 1294140 1293388 1294039 1293776 1421309 1293963 1294486 1394348 1303534 1296283 1297344 1296976 1294915 1293030 1292619 2005841 1385500 1296813 1293264,大师派
克洛德·夏布罗尔,1298254 1297980 1424605 1394261 1304810,大师派
阿伦·雷乃,2568211 1302050 1400240 1298270 1295740 1293103 1421863,大师派
罗伯特·布列松,1303559 1401619 1440978 1294782 1303536 1303562 1303549 1302413 1401618,大师派
雅克·塔蒂,1303543 2007345 1305790 1400829 1424620 1921583,文艺作者
让-皮埃尔·梅尔维尔,1401915 1300966 1299521 1466419 1301658 1466403 1466412 1353745 ,大师派
雅克·德米,1394410 1301646 1301648 1471815 1301656 1401908 2032829 3162138 1300056,大师派
阿涅斯·瓦尔达,26764928 30423539 3162138 1301279 1294565 1763691 1307939 1292445 1394410 1483516 1297403 1475183 1300420 1297682 2345106 1300353,大师派
莱奥·卡拉克斯,1963721 26856202 2004482 1302907 1301678 1291559 6875451 36436286,文艺作者
奥利维耶·阿萨亚斯,1310153 1294802 19976774 1419557 2027945 1949376 27097818 1783772 6030607,文艺作者
克莱尔·德尼,1306791 1303378 1421938 1291564 24875641,文艺作者
布鲁诺·杜蒙,30465538 1304869 26279128 ,文艺作者
让-皮埃尔·热内,1292215 6985803 1299153 1292234 1306666 2355582 1306450 34891825 6971294 3989609 1451789,文艺作者
贝拉·塔尔,1422088 3285632 1416898 1422055 1917205 10727678 1422101,大师派
米克洛什·扬索,1301261 1771244 1462674 1434432 1401913 1786161 1765803 3346295 4268586,大师派
安杰伊·瓦伊达,2286418 1303174 26677427 1305647 1296674 1305630 1353746 1301124 34952351 1401370,大师派
帕维乌·帕夫利科夫斯基,26894602 24870808 1394469 24888580 1306446,文艺作者
克日什托夫·扎努西,1294303 1296917 1296507 1307735 3267396 1296511 3381006 1298228 26577936,大师派
鲁本·奥斯特伦德,27066152 26610229 7155005 3556728 4303769 3073479 27148398 6114938,文艺作者
罗伊·安德森,6521506 1295877 2002696 26884422 1463934 1472927 10779912 1949698 26357883 2039326,文艺作者
拉斯·冯·提尔,1298759 6827727 1291562 26369884 10792650 4086853 2027945 3040418 1292468 6793337 24875641 10438697 1296116,文艺作者
