title,info,mark_time,link,poster,rating
寂静的朋友 / A néma barát/ 喑哑的友人 / Silent Friend,寂静的朋友 / A néma barát/ 喑哑的友人 / Silent Friend2025-09-05(威尼斯电影节) / 2025-09-08(多伦多电影节) / 2025(德国) / 梁朝伟 / 蕾雅·赛杜 / 卢娜·韦德勒 / 恩佐·布鲁姆 / 西尔维斯特·格罗特 / 马丁·乌特克 / 约翰内斯·赫格曼 / 赖纳·博克 / 黄云 / Felix Burose / 德国 / 匈牙利 / 法国 / 中国大陆 / 伊尔蒂科·茵叶蒂 / 147分钟 / 寂静的朋友 / 剧情 / 科幻 / 伊尔蒂科·茵叶蒂 Ildikó Enyedi / 英语 / 粤语 / 德语2025-09-06修改删除,2025-09-06,https://movie.douban.com/subject/26967871/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2924944796.jpg,
帕特森 / Paterson/ 柏德逊(港) / 派特森(台),帕特森 / Paterson/ 柏德逊(港) / 派特森(台)[可播放]2016-05-16(戛纳电影节) / 2016-12-28(美国) / 亚当·德赖弗 / 格什菲·法拉哈尼 / 内利 / 里兹万·曼吉 / 巴里·沙巴卡·亨利 / 特雷弗·帕勒姆 / 特洛伊·T·帕勒姆 / 布莱恩·麦卡锡 / 弗兰克·哈茨 / 小路易斯·达·席尔瓦 / 美国 / 法国 / 德国 / 吉姆·贾木许 / 118分钟 / 帕特森 / 剧情 / 吉姆·贾木许 Jim Jarmusch / 英语2025-09-05修改删除,2025-09-05,https://movie.douban.com/subject/26677495/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2385215679.jpg,
整蛊专家 / 整蠱專家/ 求爱总动员 / 整人专家,整蛊专家 / 整蠱專家/ 求爱总动员 / 整人专家[可播放]1991-02-02(中国香港) / 刘德华 / 周星驰 / 关之琳 / 邱淑贞 / 吴孟达 / 李子雄 / 王晶 / 成奎安 / 程东 / 陈百祥 / 中国香港 / 王晶 / 108分钟 / 整蛊专家 / 喜剧 / 爱情 / 王晶 Jing Wong / 粤语2025-09-02修改删除,2025-09-02,https://movie.douban.com/subject/1299680/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2164309000.jpg,
机遇之歌 / Przypadek/ 盲打误撞(港) / Blind Chance,机遇之歌 / Przypadek/ 盲打误撞(港) / Blind Chance1987-01-10(波兰) / 1987-05-08(戛纳电影节) / 博古斯瓦夫·林达 / 塔德乌什·罗姆尼斯基 / 比涅尤·扎塔西奇斯 / 伯格斯拉娃·帕韦莱茨 / 马尔泽娜·泰巴拉 / 亚切克·博尔科夫斯基 / 亚切克·萨斯-乌赫里诺夫斯基 / 亚当·费仁希 / 莫妮卡·戈兹克 / 齐格蒙特·哈布纳 / 波兰 / 克日什托夫·基耶斯洛夫斯基 / 114分钟 / 123分钟(未删节版) / 机遇之歌 / 剧情 / 克日什托夫·基耶斯洛夫斯基 Krzysztof Kieslowski / 波兰语2025-09-02修改删除,2025-09-02,https://movie.douban.com/subject/1307200/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2504900419.jpg,
风柜来的人 / 風櫃來的人/ The Boys From Fengkuei / All the Youthful Days,风柜来的人 / 風櫃來的人/ The Boys From Fengkuei / All the Youthful Days[可播放]1983(中国台湾) / 1990-07-21(日本) / 钮承泽 / 张世 / 庹宗华 / 林秀玲 / 杨丽音 / 张纯芳 / 陈博正 / 侯孝贤 / 陈淑芳 / 颜正国 / 中国台湾 / 侯孝贤 / 100分钟 / 风柜来的人 / 剧情 / 朱天文 Tien-wen Chu / 汉语普通话 / 闽南语2025-09-01修改删除,2025-09-01,https://movie.douban.com/subject/1299436/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2197299205.jpg,
杀人短片 / Krótki film o zabijaniu/ 杀人影片 / 杀诫,杀人短片 / Krótki film o zabijaniu/ 杀人影片 / 杀诫1988-03-11(波兰) / 米罗斯瓦夫·巴卡 / 克日什托夫·格洛比什 / 扬·特萨利兹 / 比涅尤·扎塔西奇斯 / 芭芭拉·杰坎 / 亚历山大·贝德纳茨 / 杰吉·泽斯 / 兹齐斯瓦夫·托比亚兹 / 阿图尔·巴奇斯 / 克里斯提娜·杨达 / 波兰 / 克日什托夫·基耶斯洛夫斯基 / 84分钟 / 杀人短片 / 剧情 / 犯罪 / 克日什托夫·基耶斯洛夫斯基 Krzysztof Kieslowski / 克日什托夫·皮耶谢维茨 Krzysztof Piesiewicz / 波兰语2025-08-31修改删除,2025-08-31,https://movie.douban.com/subject/1303654/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2497615647.jpg,
十诫 / Dekalog/ The Decalogue / The Ten Commandments,十诫 / Dekalog/ The Decalogue / The Ten Commandments1989-05-16(戛纳电影节) / 1989-09-05(威尼斯电影节) / 1989-12-10(波兰) / 1990-05-04(西德) / 阿图尔·巴奇斯 / 昂里克·巴兰诺斯基 / 胡契克·卡勒塔 / 马娅·科莫罗夫斯卡 / 克里斯提娜·杨达 / 亚历山大·巴尔迪尼 / 奥尔基尔德·鲁卡斯瑟维克茨 / 斯塔尼斯拉娃·加瓦里克 / 克日什托夫·库摩尔 / 达尼尔·奥勒布里斯基 / 波兰 / 西德 / 克日什托夫·基耶斯洛夫斯基 / 55分钟 / 572分钟(电影节版) / 十诫 / 剧情 / 克日什托夫·基耶斯洛夫斯基 Krzysztof Kieslowski / 克日什托夫·皮尔斯维奇 Krzysztof Piesiewicz / 波兰语2025-08-31修改删除,2025-08-31,https://movie.douban.com/subject/1301252/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2259966767.jpg,
着魔 / Possession/ 魔鬼狂爱(台) / 迷恋,着魔 / Possession/ 魔鬼狂爱(台) / 迷恋1981-05-25(戛纳电影节) / 伊莎贝尔·阿佳妮 / 山姆·尼尔 / 玛吉特·卡斯滕森 / 海因茨·本奈特 / 约翰娜·霍费尔 / 卡罗尔·杜瑞 / 肖恩·劳顿 / 麦克尔·霍格本 / 马克西米利安·露丝莱恩 / 托马斯·弗雷 / 法国 / 西德 / 安杰伊·茹瓦夫斯基 / 124分钟 / 着魔 / 剧情 / 恐怖 / 安德烈·祖拉斯基 Andrzej Zulawski / 弗雷德里克·塔滕 Frederic Tuten / 英语 / 法语 / 德语2025-08-23修改删除,2025-08-23,https://movie.douban.com/subject/1297203/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2633303314.jpg,
怪奇物语 第五季 / Stranger Things Season 5/ 怪奇物语最终季,怪奇物语 第五季 / Stranger Things Season 5/ 怪奇物语最终季2025-11-26(美国) / 薇诺娜·瑞德 / 大卫·哈伯 / 米莉·波比·布朗 / 菲恩·伍法德 / 伽塔·马塔拉佐 / 凯莱布·麦克劳克林 / 诺亚·施纳普 / 萨迪·辛克 / 娜塔莉·戴尔 / 查理·希顿 / 美国 / 肖恩·利维 / 马特·达菲 / 罗斯·达菲 / 丹·特拉亨伯格 / 弗兰克·德拉邦特 / 怪奇物语 / 怪奇物语 / 剧情 / 科幻 / 悬疑 / 奇幻 / 惊悚 / 恐怖 / 马特·达菲 Matt Duffer / 罗斯·达菲 Ross Duffer / 英语2025-08-22修改删除,2025-08-22,https://movie.douban.com/subject/35774681/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2923400752.jpg,
生之欲 / 生きる/ 留芳颂(港) / 活下去,生之欲 / 生きる/ 留芳颂(港) / 活下去[可播放]1952-10-09(日本) / 志村乔 / 日守新一 / 田中春男 / 千秋实 / 小田切美喜 / 左卜全 / 山田巳之助 / 藤原釜足 / 小堀诚 / 金子信雄 / 日本 / 黑泽明 / 143分钟 / 生之欲 / 剧情 / 黑泽明 Akira Kurosawa / 桥本忍 Shinobu Hashimoto / 小国英雄 Hideo Oguni / 日语2025-08-20修改删除,2025-08-20,https://movie.douban.com/subject/1293847/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2215888214.jpg,
