douban_id,title,info,mark_time,my_rating_stars,my_rating_label
27605698,西虹市首富,西虹市首富/ Hello Mr. Billionaire / 资本接班人[可播放]2018-07-27(中国大陆) / 沈腾 / 宋芸桦 / 张一鸣 / 张晨光 / 常远 / 魏翔 / 赵自强 / 九孔 / 李立群 / 王成思 / 中国大陆 / 闫非 / 彭大魔 / 118分钟 / 喜剧 / 闫非 Fei Yan / 彭大魔 Damo Peng / 林炳宝 Bingbao Lin / 汉语普通话2023-01-24修改删除,2023-01-24,2.0,
27038183,羞羞的铁拳,羞羞的铁拳/ Never Say Die[可播放]2017-09-30(中国大陆) / 艾伦 / 马丽 / 沈腾 / 田雨 / 宋阳 / 薛皓文 / 常远 / 黄才伦 / 王智 / 尹正 / 中国大陆 / 宋阳 / 张吃鱼 / 100分钟 / 喜剧 / 奇幻 / 张吃鱼 / 宋阳 Yang Song / 汉语普通话2023-01-24修改删除,2023-01-24,2.0,
30323380,中国乒乓之绝地反击,中国乒乓之绝地反击/ 中国乒乓 / Ping-pong of China[可播放]2023-01-24(中国大陆点映) / 2023-02-17(中国大陆) / 邓超 / 孙俪 / 许魏洲 / 段博文 / 蔡宜达 / 丁冠森 / 孙浠伦 / 阿如那 / 吴京 / 梁超 / 中国大陆 / 邓超 / 俞白眉 / 2023-01-20 18:00 / 137分钟 / 剧情 / 运动 / 俞白眉 Baimei Yu / 孟晖 Hui Meng / 汉语普通话 / 日语 / 韩语 / 英语 / 意大利语 / 瑞典语2023-01-24修改删除,2023-01-24,2.0,
26277313,西游记之大圣归来,西游记之大圣归来/ 大圣归来 / 猴王[可播放]2015-07-10(中国大陆) / 张磊 / 林子杰 / 吴文伦 / 童自荣 / 刘九容 / 吴迪 / 刘北辰 / 赵乾景 / 周帅 / 滕奎兴 / 中国大陆 / 田晓鹏 / 89分钟 / 剧情 / 动画 / 奇幻 / 田晓鹏 Xiaopeng Tian / 刘虎 Hu Liu / 米粒 Li Mi / 金冉 Ran Jin / 金成 Cheng Jin / 汉语普通话2023-01-19修改删除,2023-01-19,2.0,
6982558,长城,长城 / The Great Wall/ 万里长城[可播放]2016-12-16(中国大陆) / 2017-02-17(美国) / 马特·达蒙 / 景甜 / 佩德罗·帕斯卡 / 刘德华 / 威廉·达福 / 张涵予 / 鹿晗 / 彭于晏 / 林更新 / 郑恺 / 中国大陆 / 美国 / 张艺谋 / 104分钟 / 长城 / 动作 / 奇幻 / 冒险 / 卡洛·伯纳德 Carlo Bernard / 道格·米洛 Doug Miro / 托尼·吉尔罗伊 Tony Gilroy / 马克斯·布鲁克斯 Max Brooks / 爱德华·兹威克 Edward Zwick / 马歇尔·赫斯科维兹 Marshall Herskovitz / 英语 / 汉语普通话2023-01-17修改删除,2023-01-17,1.0,
1584750,神奇四侠2,神奇四侠2 / Fantastic 4: Rise of the Silver Surfer/ 神奇4侠：银魔现身(港) / 惊奇4超人：银色冲浪手现身(台)[可播放]2007-06-15(美国) / 艾恩·格拉法德 / 杰西卡·阿尔芭 / 克里斯·埃文斯 / 迈克尔·切克利斯 / 朱利安·麦克马洪 / 安德鲁·布劳尔 / 劳伦斯·菲什伯恩 / 道格·琼斯 / 凯丽·华盛顿 / 碧儿·加勒特 / 美国 / 德国 / 英国 / 蒂姆·斯托瑞 / 92分钟 / 神奇四侠2 / 动作 / 科幻 / 冒险 / 唐·佩恩 Don Payne / 马克·弗罗斯特 Mark Frost / 约翰·特曼 John Turman / 英语 / 日语 / 汉语普通话 / 阿拉伯语2023-01-09修改删除,2023-01-09,1.0,
1309103,神奇四侠,神奇四侠 / Fantastic Four/ 神奇4侠(港) / 惊奇4超人(台)[可播放]2005-07-08(美国) / 2005-09-29(中国大陆) / 艾恩·格拉法德 / 杰西卡·阿尔芭 / 克里斯·埃文斯 / 迈克尔·切克利斯 / 朱利安·麦克马洪 / 哈米什·林克莱特 / 劳瑞·侯登 / 凯丽·华盛顿 / 凯文·麦克纳尔蒂 / 玛丽娅·曼努诺斯 / 美国 / 德国 / www.fantasticfourmovie.com / 蒂姆·斯托瑞 / 106分钟 / 125分钟(加长版) / 神奇四侠 / 动作 / 科幻 / 冒险 / 马克·弗罗斯特 Mark Frost / 迈克尔·弗朗斯 Michael France / 斯坦·李 Stan Lee / 杰克·科比 Jack Kirby / 英语2023-01-09修改删除,2023-01-09,1.0,
20435622,环太平洋：雷霆再起,环太平洋：雷霆再起 / Pacific Rim: Uprising/ 环太平洋2 / 环太平洋2：雷霆再起[可播放]2018-03-23(美国) / 2018-03-23(中国大陆) / 约翰·博耶加 / 卡莉·史派妮 / 斯科特·伊斯特伍德 / 景甜 / 伯恩·戈曼 / 查理·戴 / 阿德里娅·阿霍纳 / 张晋 / 菊地凛子 / 卡兰·布拉尔 / 英国 / 中国大陆 / 日本 / 美国 / 墨西哥 / www.pacificrimmovie.com / 斯蒂文·S·迪奈特 / 111分钟 / 环太平洋：雷霆再起 / 动作 / 科幻 / 冒险 / 斯蒂文·S·迪奈特 Steven S. DeKnight / 艾米丽·卡迈克尔 Emily Carmichael / 吉拉·斯奈德 Kira Snyder / T·S·诺林 T.S. Nowlin / 特拉维斯·比彻姆 Travis Beacham / 英语 / 汉语普通话 / 俄语2023-01-09修改删除,2023-01-09,2.0,
2303163,超级大坏蛋,超级大坏蛋 / Megamind/ 麦克迈：超能坏蛋(台) / 毛百万(港)[可播放]2010-11-05(美国) / 威尔·法瑞尔 / 乔纳·希尔 / 布拉德·皮特 / 蒂娜·菲 / 大卫·克罗斯 / 贾斯汀·塞洛克斯 / 本·斯蒂勒 / 杰西卡·舒尔特 / 汤姆·麦格拉思 / 艾米莉·诺德万 / 美国 / www.megamind.com/ / 汤姆·麦格拉思 / 95分钟 / 超级大坏蛋 / 喜剧 / 动作 / 动画 / 艾伦·J·斯库尔克拉夫特 Alan J. Schoolcraft / 布伦特·西蒙斯 Brent Simons / 英语2022-10-14修改删除,2022-10-14,2.0,
30413052,攀登者,攀登者/ The Climbers[可播放]2019-09-30(中国大陆) / 吴京 / 章子怡 / 张译 / 井柏然 / 胡歌 / 成龙 / 陈龙 / 多布杰 / 何琳 / 刘小锋 / 中国大陆 / 李仁港 / 125分钟 / 剧情 / 爱情 / 冒险 / 阿来 A Lai / 尚英 Ying Shang / 李仁港 Daniel Lee / 汉语普通话 / 藏语2022-09-06修改删除,2022-09-06,2.0,
2364054,绿灯侠,绿灯侠 / Green Lantern/ 绿光战警(台)[可播放]2011-06-17(美国) / 2011-10-20(中国大陆) / 瑞安·雷诺兹 / 布蕾克·莱弗利 / 彼得·萨斯加德 / 马克·斯特朗 / 蒂姆·罗宾斯 / 杰伊·桑德斯 / 塔伊加·维迪提 / 安吉拉·贝塞特 / 麦克·道尔 / 尼克·简戴尔 / 美国 / www.green-lantern-movie.co.uk / 马丁·坎贝尔 / 114分钟 / 123分钟(加长版) / 绿灯侠 / 动作 / 科幻 / 冒险 / 格里格·伯兰蒂 Greg Berlanti / 迈克尔·格林 Michael Green / 马克·古根海姆 Marc Guggenheim / 迈克尔·戈登伯格 Michael Goldenberg / 英语2022-07-11修改删除,2022-07-11,2.0,
26933210,蜘蛛侠：英雄无归,蜘蛛侠：英雄无归 / Spider-Man: No Way Home/ 新蜘蛛侠3 / 蜘蛛侠：无回之战[可播放]2021-12-15(中国台湾) / 2021-12-17(美国) / 2022-09-02(美国重映) / 汤姆·霍兰德 / 赞达亚 / 本尼迪克特·康伯巴奇 / 雅各布·贝塔隆 / 托比·马奎尔 / 安德鲁·加菲尔德 / 玛丽莎·托梅 / 乔恩·费儒 / 王汉斌 / 威廉·达福 / 美国 / 乔恩·沃茨 / 148分钟 / 159分钟(加长版) / 蜘蛛侠：英雄无归 / 动作 / 科幻 / 奇幻 / 冒险 / 克里斯·麦克纳 Chris McKenna / 埃里克·萨默斯 Erik Sommers / 斯坦·李 Stan Lee / 史蒂夫·迪特寇 Steve Ditko / 英语 / 他加禄语2022-07-11修改删除,2022-07-11,2.0,
26931786,蜘蛛侠：英雄远征,蜘蛛侠：英雄远征 / Spider-Man: Far from Home/ 蜘蛛侠：决战千里(港) / 蜘蛛人：离家日(台)[可播放]2019-06-28(中国大陆) / 2019-07-02(美国) / 汤姆·霍兰德 / 赞达亚 / 杰克·吉伦哈尔 / 塞缪尔·杰克逊 / 寇碧·史莫德斯 / 乔恩·费儒 / 玛丽莎·托梅 / 雅各布·贝塔隆 / 安格瑞·赖斯 / 马丁·斯塔尔 / 美国 / www.spidermanfarfromhome.movie/ / 乔恩·沃茨 / 129分钟 / 蜘蛛侠：英雄远征 / 动作 / 科幻 / 冒险 / 克里斯·麦克纳 Chris McKenna / 埃里克·萨默斯 Erik Sommers / 史蒂夫·迪特寇 Steve Ditko / 斯坦·李 Stan Lee / 英语2022-07-11修改删除,2022-07-11,2.0,
26213252,惊奇队长,惊奇队长 / Captain Marvel/ Marvel队长(港) / 漫威队长[可播放]2019-03-08(美国) / 2019-03-08(中国大陆) / 布丽·拉尔森 / 裘德·洛 / 塞缪尔·杰克逊 / 本·门德尔森 / 安妮特·贝宁 / 麦肯娜·格瑞丝 / 克拉克·格雷格 / 嘉玛·陈 / 李·佩斯 / 杰曼·翰苏 / 美国 / 澳大利亚 / www.marvel.com/captainmarvel/ / 安娜·波顿 / 瑞安·弗雷克 / 124分钟 / 惊奇队长 / 动作 / 科幻 / 冒险 / 安娜·波顿 Anna Boden / 瑞安·弗雷克 Ryan Fleck / 吉内瓦·德沃莱特-罗宾森 Geneva Dworet-Robertson / 尼科尔·帕尔曼 Nicole Perlman / 梅格·勒福夫 Meg LeFauve / 英语2022-07-11修改删除,2022-07-11,2.0,
24753477,蜘蛛侠：英雄归来,蜘蛛侠：英雄归来 / Spider-Man: Homecoming/ 蜘蛛侠：强势回归(港) / 蜘蛛人：返校日(台)[可播放]2017-06-28(洛杉矶首映) / 2017-07-07(美国) / 2017-09-08(中国大陆) / 汤姆·霍兰德 / 小罗伯特·唐尼 / 玛丽莎·托梅 / 迈克尔·基顿 / 雅各布·贝塔隆 / 托尼·雷沃罗利 / 赞达亚 / 乔恩·费儒 / 亚伯拉罕·阿塔哈 / 劳拉·哈里尔 / 美国 / 乔恩·沃茨 / 133分钟 / 蜘蛛侠：英雄归来 / 动作 / 科幻 / 冒险 / 乔纳森·M·戈尔茨坦 Jonathan M. Goldstein / 约翰·弗朗西斯·戴利 John Francis Daley / 乔·沃茨 Jon Watts / 克里斯托弗·D·福特 Christopher D. Ford / 克里斯·麦克纳 Chris McKenna / 埃里克·萨默斯 Erik Sommers / 斯坦·李 Stan Lee / 史蒂夫·迪特寇 Steve Ditko / 乔·西蒙 Joe Simon / 杰克·科比 Jack Kirby / 英语2022-07-11修改删除,2022-07-11,2.0,
25823833,天将雄师,天将雄师/ 天将雄狮 / 天降雄狮[可播放]2015-02-19(中国大陆) / 成龙 / 约翰·库萨克 / 阿德里安·布罗迪 / 崔始源 / 林鹏 / 王若心 / 肖央 / 王太利 / 洪天照 / 刘承俊 / 中国大陆 / 中国香港 / 李仁港 / 127分钟 / 动作 / 战争 / 古装 / 李仁港 Daniel Lee / 汉语普通话 / 英语2022-07-11修改删除,2022-07-11,2.0,
2209368,新宿事件,新宿事件/ Shinjuku Incident2009-04-02(中国香港) / 成龙 / 竹中直人 / 吴彦祖 / 徐静蕾 / 范冰冰 / 加藤雅也 / 高捷 / 秦沛 / 林雪 / 仓田保昭 / 中国香港 / 尔冬升 / 119 分钟 / 剧情 / 犯罪 / 尔冬升 Tung-Shing Yee / 秦天南 Tin Nam Chun / 刘永平 / 汉语普通话 / 日语 / 粤语 / 英语 / 闽南语2022-07-11修改删除,2022-07-11,2.0,
1939414,功夫之王,功夫之王 / The Forbidden Kingdom/ 双J计划[可播放]2008-04-18(美国) / 2008-04-24(中国大陆) / 迈克尔·安格拉诺 / 成龙 / 李连杰 / 邹兆龙 / 刘亦菲 / 李冰冰 / 莫根·本诺特 / 王德顺 / 崔文璐 / 叶小铿 / 美国 / 中国大陆 / www.forbiddenkingdommovie.com / 罗伯·明可夫 / 104分钟 / 功夫之王 / 动作 / 奇幻 / 冒险 / 武侠 / 古装 / 约翰·福斯克 John Fusco / 英语 / 汉语普通话2022-07-11修改删除,2022-07-11,2.0,
25723583,英伦对决,英伦对决 / The Foreigner/ 龙震天下 / 普通人[可播放]2017-09-30(中国大陆) / 2017-10-13(美国) / 成龙 / 皮尔斯·布鲁斯南 / 刘涛 / 梁佩诗 / 夏莉·墨菲 / 奥尔拉·布雷迪 / 迈克尔·麦克埃尔哈顿 / 西蒙·坤茨 / 雷·费隆 / 罗里·弗莱克-拜恩 / 英国 / 中国大陆 / 美国 / 马丁·坎贝尔 / 113分钟 / 英伦对决 / 动作 / 犯罪 / 大卫·马可尼 David Marconi / 史蒂芬·莱泽 Stephen Leather / 英语 / 汉语普通话2022-07-11修改删除,2022-07-11,2.0,
34804147,寻龙传说,寻龙传说 / Raya and The Last Dragon/ 魔龙王国(港) / 寻龙使者：拉雅(台)[可播放]2021-03-05(中国大陆/美国) / 凯莉·玛丽·陈 / 奥卡菲娜 / 嘉玛·陈 / 金大贤 / 吴珊卓 / 王汉斌 / 王鹿山 / 塔莉娅·陈 / 艾伦·图代克 / 迪辰·拉克曼 / 美国 / 唐·霍尔 / 卡洛斯·洛佩斯·埃斯特拉达 / 保罗·布里格斯 / 约翰·瑞帕 / 108分钟 / 寻龙传说 / 动画 / 奇幻 / 冒险 / 阮基 Qui Nguyen / 阿黛勒·林 Adele Lim / 保罗·布里格斯 Paul Briggs / 唐·霍尔 Don Hall / 卡洛斯·洛佩斯·埃斯特拉达 Carlos López Estrada / 基尔·默里 Kiel Murray / 约翰·瑞帕 John Ripa / 迪恩·威林斯 Dean Wellins / 英语2022-07-11修改删除,2022-07-11,2.0,
