DIRECTOR,相近导演,主要电影豆瓣ID,LABEL
塔伦蒂诺,,,欧洲作者导演
塔可夫斯基,,,欧洲作者导演
塚本晋也,,,欧洲作者导演
大卫·林奇,罗伊·安德森、卡洛斯·雷加达斯、迈克尔·哈内克,1292217 1298506 1298697 1303459 1293200 1298974 1293925 1438734 1303472,好莱坞商业导演
大卫·芬奇,迈克尔·曼、克里斯托弗·诺兰、丹尼斯·维伦纽瓦,1292000 21318488 1292223 1485260 3205624 1781126 4206357 1297929 2998451 1296384 1306911 34461705 10438697,好莱坞商业导演
大岛渚,,1303535 1292790 2027945 1294588 1303691 1302766 1305020,日本新浪潮
奥利弗·斯通,,,好莱坞商业导演
奥利维耶·阿萨亚斯,莱奥·卡拉克斯、克莱尔·德尼、布鲁诺·杜蒙,1310153 1294802 19976774 1419557 2027945 1949376 27097818 1783772 6030607,欧洲作者导演
姜文,,3742360 26366496 1291858 1291875 1766086,中国作者导演
娄烨,贾樟柯、蔡明亮、毕赣、张艺谋（早期）,26728669 1299661 20020577 3690289 10438426 26954859 4883425 30346866 1303217 1300436,中国作者导演
宁浩,,,中国作者导演
安东尼奥尼,,,意大利现代主义
安吉拉·尚莱克,,,中国作者导演
安哲罗普洛斯,,,欧洲作者导演
安德烈·兹维亚金采夫,亚历山大·索科洛夫、阿列克谢·格尔曼、努里·比格·锡兰,24525283 26785590 1308074 1962160,中国作者导演
安德烈·塔可夫斯基,克日什托夫·基耶斯洛夫斯基、斯坦利·库布里克、谢尔盖·帕拉杰诺夫,1299248 1291556 1300977 1295656 1294421 1294531 1298248 1308609 34680793 1429059 1758376 2342769 1431980 2296678,诗电影
安杰伊·瓦伊达,安德烈·祖拉夫斯基、克日什托夫·基耶斯洛夫斯基、克日什托夫·扎努西,2286418 1303174 26677427 1305647 1296674 1305630 1353746 1301124 34952351 1401370,欧洲作者导演
宫崎骏,高畑勋、新海诚、细田守、押井守,1291561 1291560 1308807 1291583 1297359 1307811 1959877 4202302 1291585 1297052 6791750 26925611 1291838 1304970 5262338,日本动画导演
小林正树,市川崑、沟口健二、黑泽明、今村昌平,1304920 1303083 1300738 1298561 1441039 1441038 1863661,日本剑戟片
小津安二郎,成濑巳喜男、沟口健二、是枝裕和、今村昌平,1291568 1294433 1307265 1401842 1297841 1298063 1299360 1401843 1306183 1296834 1300842 1306069 1302966 1298704 1304405,日本剑戟片
山姆·雷米,,,好莱坞商业导演
岩井俊二,是枝裕和、行定勋、韩在林、郭在容,1292220 27615233 1308820 1292371 1307793 1292219 1301948 26147706 1308685 1308543 30271236,好莱坞商业导演
巴里·索南菲尔德,朗·霍华德、肖恩·利维、乔·庄斯顿,35211653 27011468 26995598 26253566 26314816 3642835 1971111 2153959 1588704 1308979 1308842 1295280 1300718 1298390 1293364 1301445 1293335 1299900 1305039 1293718 1298043 1292060 1303352 1293276 1302542 6967659,欧洲作者导演
巴里·詹金斯,,,欧洲作者导演
市川崑,小林正树、成濑巳喜男、沟口健二、黑泽明,1299777 1296872 1729037 1303090,日本剑戟片
布列松,,,欧洲作者导演
布莱恩·德·帕尔马,,,好莱坞商业导演
布鲁诺·杜蒙,迈克尔·哈内克、克莱尔·德尼、加斯帕·诺埃,30465538 1304869 26279128 ,好莱坞商业导演
帕维乌·帕夫利科夫斯基,克里斯蒂安·佩措尔德、奥利维耶·阿萨亚斯、帕维尔·卢布什,26894602 24870808 1394469 24888580 1306446,好莱坞商业导演
帕维尔·卢布什,,,中国作者导演
库布里克,,,好莱坞商业导演
庵野秀明,,1308892 10428501 2567646 1968790 2567647 1455442 26279124,好莱坞商业导演
弗朗索瓦·特吕弗,让-吕克·戈达尔、埃里克·侯麦、雅克·德米、阿涅斯·瓦尔达,1291856 1300056 1353745 1292338 1293870 1293299 1298405 1298616 1298197 1298095 1298892 25893369 1293885 1300067 1419169 1300962 3161902,欧洲作者导演
弗朗西斯·福特·科波拉,斯科塞斯、德·帕尔马、库布里克、雷德利·斯科特,4120658 1291841 1299131 6793337 4832752 1303067 30128193 1294240 1937362 3580624 26986505 3074011 26811437 3176843 26390525 1298202 1302133 24875641 1296581 1303357 1292260 1421856 27087656 1441629 1302689 1296908,好莱坞商业导演
张艺谋,,1292365 4864908 35766491 35051512 3649049 32493124 36208094 21352814 1293323 4151110 1306123 1306505 35215390 35294995 30257787 1296436 1299365 1294007 1294963 1300108 1422952 1292900 1297743,中国作者导演
张艾嘉,,26773744 1292289 25718082 1308130 3005496,中国作者导演
彼得·杰克逊,山姆·雷米、吉尔莫·德尔·托罗、克里斯托弗·诺兰,1291571 1291552 1291572 1966182 3006772 2973079 11606328 1309043 1806555 1295647 2028669 30242710 4221462 1300377 30466797 1301716,好莱坞商业导演
彼得·格林纳威,德里克·贾曼、拉斯·冯·提尔、迈克尔·哈内克,1296579 1304582 1296814,好莱坞商业导演
德·帕尔马,,,欧洲作者导演
德里克·贾曼,,,中国作者导演
戈尔·维宾斯基,罗伯·马歇尔、布莱恩·德·帕尔马、巴里·索南菲尔德,26363201 2133323 3024838 2998253 1418192 1315574 1309054 1298070 1305419 1301888 1295490,好莱坞商业导演
戈达尔,,,法国新浪潮
成濑巳喜男,,,欧洲作者导演
托尼·斯科特,,,好莱坞商业导演
托马斯·温特伯格,拉斯·冯·提尔、奥利维耶·阿萨亚斯、布鲁诺·杜蒙,6985810 30323120 24875641 1292908 30234891 24716045 26684528 3284392 1309098 1766559,好莱坞商业导演
押井守,,,中国作者导演
拉斯·冯·提尔,托马斯·温特伯格、迈克尔·哈内克、奥利维耶·阿萨亚斯,1298759 6827727 1291562 26369884 10792650 4086853 2027945 3040418 1292468 6793337 24875641 10438697 1296116,欧洲作者导演
拉素罗夫,,,伊朗新电影
文牧野,,26752088 32659890 35312437 25917964 24869508,中国作者导演
斯坦利·库布里克,安德烈·塔可夫斯基、克里斯托弗·诺兰、大卫·芬奇,1302827 1292225 1292233 1300275 1292226 1300275 1300055 1296992 1322848 1292969 1292472 1293936 1298366 1293980 1293398 1308881,好莱坞商业导演
斯派克·李,巴里·詹金斯、瑞恩·库格勒、乔丹·皮尔,1293958 27133913 1292681 1300880 3279054 1441801 1292280 2140558 1766042 1291563,好莱坞商业导演
斯科塞斯,,,好莱坞商业导演
斯蒂芬·弗雷尔斯,,,好莱坞商业导演
新海诚,细田守、米林宏昌、原惠一、渡边信一郎,26683290 2043546 30402296 35371261 20470074,日本动画导演
施密特,,,好莱坞商业导演
施隆多夫,,,好莱坞商业导演
