douban_id,title,info,mark_time,my_rating_stars,my_rating_label
30433456,碟中谍8：最终清算,碟中谍8：最终清算 / Mission: Impossible - The Final Reckoning/ 碟中谍8 / 不可能的任务：最终清算(台)[可播放]2025-05-14(戛纳国际电影节) / 2025-05-23(美国) / 2025-05-30(中国大陆) / 汤姆·克鲁斯 / 海莉·阿特维尔 / 文·瑞姆斯 / 西蒙·佩吉 / 埃塞·莫拉雷斯 / 庞·克莱门捷夫 / 亨利·科泽尼 / 霍特·麦克卡兰尼 / 珍妮特·麦克蒂尔 / 尼克·奥弗曼 / 美国 / 克里斯托弗·麦奎里 / 170分钟 / 碟中谍8：最终清算 / 动作 / 惊悚 / 冒险 / 克里斯托弗·麦奎里 Christopher McQuarrie / 埃里克·延德雷森 Erik Jendresen / 英语 / 法语2025-07-04完结撒花！伊森名字被叫出来的那一刻感觉恍如隔世，翻豆瓣才发现从第一部开始已经29年了。致敬汤姆克鲁斯。修改删除,2025-07-04,4.0,
1292233,发条橙,发条橙 / A Clockwork Orange/ 发条橘子(台) / 发条桔子1971-12-19(纽约首映) / 1972-01-13(英国) / 马尔科姆·麦克道威尔 / 帕特里克·马基 / 迈克尔·贝茨 / 沃伦·克拉克 / 约翰·克莱夫 / 阿德琳妮·柯瑞 / 卡罗尔·杜瑞 / Paul Farrell / 克莱夫·弗朗西斯 / 米里亚姆·卡琳 / 英国 / 美国 / 斯坦利·库布里克 / 136 分钟 / 发条橙 / 犯罪 / 剧情 / 科幻 / 斯坦利·库布里克 Stanley Kubrick / 安东尼·伯吉斯 Anthony Burgess / 英语2025-06-28修改删除,2025-06-28,5.0,
1297223,鹿鼎记,鹿鼎记 / 鹿鼎記/ 新鹿鼎记(台) / Royal Tramp1992-07-30(中国香港) / 周星驰 / 吴孟达 / 张敏 / 吴君如 / 邱淑贞 / 刘松仁 / 陈百祥 / 袁洁莹 / 温兆伦 / 徐锦江 / 中国香港 / 王晶 / 程小东 / 110分钟 / 125分钟(台湾) / 鹿鼎记 / 喜剧 / 动作 / 武侠 / 古装 / 王晶 Jing Wong / 粤语2025-06-28修改删除,2025-06-28,4.0,
1300055,全金属外壳,全金属外壳 / Full Metal Jacket/ 烈血焚城(港) / 金甲部队(台)1987-06-17 / 马修·莫迪恩 / 亚当·鲍德温 / 文森特·多诺费奥 / 李·厄米 / 道林·海伍德 / 艾利斯·霍华德 / 埃德·欧罗斯 / 约翰·特里 / 蒂姆·科尔切里 / 布鲁斯·博阿 / 英国 / 美国 / 斯坦利·库布里克 / 116 分钟 / 全金属外壳 / 剧情 / 战争 / 斯坦利·库布里克 Stanley Kubrick / 迈克尔·海尔 Michael Herr / 古斯塔夫·哈斯福德 Gustav Hasford / 英语 / 越南语2025-06-27后悔在晚上点开。修改删除,2025-06-27,5.0,
11502153,黑镜 第二季,黑镜 第二季 / Black Mirror Season 2/ 黑镜子 第二季2013-02-11(英国) / 海莉·阿特维尔 / 多姆纳尔·格里森 / 塔彭丝·米德尔顿 / 英迪拉·安格 / 西妮德·马修斯 / 莎拉·霍尔 / 詹姆斯·理查德·马歇尔 / 托尼·法迪尔| / 维瑞蒂·马歇尔 / 迈克尔·史麦利 / 英国 / www.channel4.com/programmes/black-mirror / 欧文·哈里斯 / 布林·希金斯 / 卡尔·蒂贝茨 / 黑镜 / 45分钟 / 黑镜 / 剧情 / 科幻 / 惊悚 / 查理·布鲁克 Charlie Brooker / 英语 / 西班牙语 / 汉语普通话2025-06-25修改删除,2025-06-25,5.0,
36247731,新·驯龙高手,新·驯龙高手 / How to Train Your Dragon/ 新驯龙高手 / 驯龙高手[可播放]2025-06-06(韩国) / 2025-06-13(美国/中国大陆) / 梅森·泰晤士 / 妮可·帕克 / 杰拉德·巴特勒 / 尼克·弗罗斯特 / 加布里埃尔·豪尔 / 朱利安·丹尼森 / 布朗温·詹姆斯 / 哈里·特雷瓦尔德温 / 默里·麦克阿瑟 / 彼得·塞拉菲诺威茨 / 美国 / 迪恩·戴布洛伊 / 2025-04-02 / 126分钟 / 新·驯龙高手 / 剧情 / 喜剧 / 动作 / 奇幻 / 冒险 / 迪恩·德布洛斯 Dean DeBlois / 英语2025-06-24修改删除,2025-06-24,5.0,
1291839,银翼杀手,银翼杀手 / Blade Runner/ 公元2020 / 叛狱追杀令[可播放]1982-06-25(美国) / 哈里森·福特 / 鲁格·豪尔 / 肖恩·杨 / 爱德华·詹姆斯·奥莫斯 / M·埃梅特·沃尔什 / 达丽尔·汉纳 / 威廉·桑德森 / 布里翁·詹姆斯 / 乔·托克尔 / 乔安娜·卡西迪 / 美国 / 雷德利·斯科特 / 117分钟(最终剪辑版) / 116分钟(导演剪辑版) / 银翼杀手 / 科幻 / 惊悚 / 汉普顿·范彻 Hampton Fancher / 大卫·韦伯·皮普尔斯 David Webb Peoples / 菲利普·迪克 Philip K. Dick / 英语 / 德语 / 粤语 / 日语 / 匈牙利语 / 阿拉伯语2025-06-19精彩修改删除,2025-06-19,5.0,
1300868,异形,异形 / Alien/ 异形杀手 / Star Beast[可播放]1979-05-25(美国) / 西格妮·韦弗 / 汤姆·斯凯里特 / 维罗尼卡·卡维特 / 哈利·迪恩·斯坦顿 / 约翰·赫特 / 伊安·霍姆 / 亚非特·科托 / 博拉吉·巴迪乔 / 海伦·霍顿 / 詹姆斯·霍纳 / 英国 / 美国 / 雷德利·斯科特 / 117分钟 / 116分钟(2004年导演剪辑版) / 异形 / 科幻 / 惊悚 / 恐怖 / 丹·欧班农 Dan O'Bannon / 罗纳德·舒塞特 Ronald Shusett / 英语2025-06-18修改删除,2025-06-18,4.0,
1291824,黑鹰坠落,黑鹰坠落 / Black Hawk Down/ 黑鹰15小时(港) / 黑鹰计划(台)[可播放]2001-12-18(美国) / 乔什·哈奈特 / 伊万·麦克格雷格 / 汤姆·塞兹摩尔 / 金·寇兹 / 艾文·布莱纳 / 艾瑞克·巴纳 / 休·丹西 / 威廉·菲克纳 / 奥兰多·布鲁姆 / 汤姆·哈迪 / 美国 / 英国 / 雷德利·斯科特 / 144分钟 / 142分钟(德国) / 152分钟(加长版) / 黑鹰坠落 / 动作 / 历史 / 战争 / Ken Nolan / Mark Bowden / 英语 / 阿拉伯语2025-06-17修改删除,2025-06-17,4.0,
36323224,豺狼的日子 第一季,"豺狼的日子 第一季 / The Day of the Jackal Season 1/ 豺狼的日子(剧版) / 财狼之日2024-11-07(美国) / 埃迪·雷德梅恩 / 拉什纳·林奇 / 乌苏拉·科尔维罗 / 楚克武迪·武吉 / 莉娅·威廉姆斯 / 本·霍尔 / 尼克·布拉德 / 理查德·多默 / 赫立德·阿卜杜拉 / 埃莉诺·松浦 / 英国 / 美国 / 布莱恩·柯克 / 安东尼·菲利普森 / 保罗·威尔姆斯赫斯特 / 阿努·梅农 / 豺狼的日子 / 60分钟 / 豺狼的日子 / 剧情 / 动作 / 犯罪 / 惊悚 / 罗南·贝内特 Ronan Bennett / 查尔斯·卡明 Charles Cumming / 希亚姆·波帕特 Shyam Popat / 杰西卡·辛亚德 Jessica Sinyard / 英语 / 西班牙语 / 德语 / 法语2025-06-02赛级纯种电子榨菜
现在美剧是没点反俄黑胖lgbt元素不能播了是吧修改删除",2025-06-02,4.0,
